time,330,340,350,360,370
74.2,,,,0.92423,
98.9,,,,,0.92174
321.5,,,0.94908,,
346.2,,,,,0.8348
420.4,0.9789,,,,
544.1,,,,0.82611,
568.8,,0.95655,,,
593.6,,,,,0.74909
816.2,,,0.88451,,
964.6,,,,0.76153,
1014,,,,,0.66464
1236.6,,,,,0.57645
1335.5,,,0.81993,,
1459.2,,0.90938,,,
1508.7,,,,0.64106,
1558.1,0.93919,,,,
1607.6,,,,,0.49945
1953.8,,,,,0.42989
2003.3,,,0.74667,,
2077.5,,,,0.53176,
2151.7,,,,,0.35288
2572.1,0.89203,,,,0.31067
2596.9,,,0.6734,,
2621.6,,0.83365,,,
2745.3,,,,0.4349,0.26595
3314.1,,,0.60759,,
3363.6,,,,0.35293,0.19641
3586.2,,0.77158,,,
3808.7,,,,0.28215,
3882.9,,,0.54674,,
3907.7,,,,,0.14799
4377.6,0.81881,,,,
4550.7,,0.71696,0.4859,,
4674.4,,,,0.22628,
4773.3,,,,,0.09337
5119.5,,,0.42878,,
5267.9,,,,0.18034,
5317.4,,,,,0.08097
5366.9,,0.6673,,,
5762.6,,,0.38409,,
5935.7,,,,,0.05987
6281.9,,0.61517,,,
6356.1,,,0.33691,,
6405.6,0.73815,,,0.11828,
6479.8,,,,,0.05493
7197,,,0.28477,,
7221.8,,0.56427,,,
7493.8,,,,0.07981,
7543.3,,,,,0.03509
8112.1,,,0.24133,,
8161.6,,0.51462,,,
8829.3,0.63887,,,,
9002.5,,,0.19665,,0.01404
9398.2,,,,0.04759,
9793.9,,0.45506,,,
9991.8,,,0.16812,,
10659.5,0.57808,,,,
10956.3,,,,0.0253,
11080,,,0.14207,,
11747.7,,0.37564,,,
11821.9,,,0.12099,,
12019.8,,,,0.0154,
12563.9,0.52102,,,,
13652.1,,,0.08752,,
13701.6,,0.31982,,,
14369.3,0.47016,,,,
15457.5,,,0.06275,,
15482.3,,0.27021,,,
16199.5,0.42179,,,,
17065.1,,,0.0504,,
17188.8,,0.22183,,,
18004.9,0.37714,,,,
18969.5,,0.18712,,,
18994.2,,,0.03805,,
19835.1,0.33374,,,,
20725.5,,0.15862,,,
21566.4,0.29903,,,,
22629.8,,0.13137,,,
23396.5,0.27178,,,,
24336.4,0.2507,,,,
24534.2,,0.1153,,,
26117.1,0.2309,,,,
26166.5,,0.09177,,,
27996.7,,0.07818,,,
28021.4,0.2024,,,,
